word,definition,part_of_speech,synonyms
renature,to restore (as a denatured protein) to an original or normal condition,transitive verb,"['renaturation', 'renaturations', 'renature', 'renatured', 'renatures', 'renaturing']"
forepleasure,pleasurable excitement (as that induced by stimulation of erogenous zones) that tends to lead to or release a more intense emotional reaction (as in orgasm),noun,"['forepleasure', 'forepleasures']"
pre-exposure,"of, relating to, occurring in, or being the period preceding exposure (as to a stimulus or a pathogen)",adjective,"['pre-exposure', 'preexposure']"
Koplik's spots,small bluish white dots surrounded by a reddish zone that appear on the mucous membrane of the cheeks and lips before the appearance of the skin eruption in a case of measles,noun plural,"['Koplik', 'Koplik spots', ""Koplik's spots""]"
moss,any of a class (Musci) of bryophytic plants having a small leafy often tufted stem bearing sex organs at its tip,noun,"['moss', 'mosses', 'mosslike']"
pododermatitis,a condition (as foot rot) characterized by inflammation of the dermal tissue underlying the horny layers of a hoof,noun,"['pododermatitides', 'pododermatitis', 'pododermatitises']"
peribronchiolitis,inflammation of the tissues surrounding the bronchioles,noun,['peribronchiolitis']
postencephalitis,symptoms or residual abnormality remaining after recovery from epidemic encephalitis,noun,"['postencephalitides', 'postencephalitis', 'postencephalitises']"
proventriculitis,inflammation of the proventriculus of a bird usually due to nutritional deficiencies or to parasitism,noun,"['proventriculitis', 'proventriculitises']"
chondro-osteodystrophy,any of several mucopolysaccharidoses (as Hurler syndrome) characterized especially by disorders of bone and cartilage,noun,"['chondro-osteodystrophies', 'chondro-osteodystrophy']"
Clomid,—used for a preparation of the citrate of clomiphene,trademark,['Clomid']
nialamide,a synthetic antidepressant drug C16H18N4O2 that is an inhibitor of monoamine oxidase,noun,"['nialamide', 'nialamides']"
thalidomide,"a sedative, hypnotic, and antiemetic drug C13H10N2O4 that was formerly used chiefly in Europe during the late 1950s and early 1960s especially to treat morning sickness but was soon withdrawn after being shown to cause serious malformations (as missing or severely shortened arms and legs) in infants born to mothers using it during the first trimester of pregnancy and that is now used as an immunomodulatory agent chiefly in the treatment of cutaneous complications of leprosy and in combination with dexamethasone in the treatment of multiple myeloma",noun,"['thalidomide', 'thalidomides']"
alogia,inability to speak : difficulty in speaking : reduced fluency of speech,noun,"['alogia', 'alogias']"
acetamide,a white crystalline amide C2H5NO of acetic acid used especially as a solvent and in organic synthesis,noun,"['acetamide', 'acetamides']"
dibromide,an organic compound containing two atoms of bromine,noun,"['dibromide', 'dibromides']"
flutamide,a nonsteroidal antiandrogen C11H11F3N2O3 that is taken orally in the treatment of prostate cancer,noun,['flutamide']
halometer,an instrument for measuring the average diameter of red blood cells by means of the halos produced around them by diffraction,noun,"['halometer', 'halometers']"
hyalomere,the pale portion of a blood platelet that is not refractile,noun,"['hyalomere', 'hyalomeres']"
polyamide,a compound characterized by more than one amide group; especially : a polymer containing a long chain of amides,noun,"['polyamide', 'polyamides']"
paroophoron,a group of rudimentary tubules in the broad ligament between the epoophoron and the uterus that constitutes a remnant of the lower part of the mesonephros in the female corresponding to the paradidymis of the male,noun,"['paroophoron', 'paroophorons']"
chromophore,a chemical group (as an azo group) that absorbs light at a specific frequency and so imparts color to a molecule; also : a colored chemical compound,noun,"['chromophore', 'chromophores', 'chromophoric']"
phosphoric,"of, relating to, or containing phosphorus especially with a valence higher than in phosphorous compounds",adjective,['phosphoric']
chromatophore,a pigment-bearing cell; especially : a cell (such as a melanophore) of an animal integument capable of causing integumentary color changes by expanding or contracting,noun,"['chromatophore', 'chromatophores', 'chromatophoric']"
amphoric,resembling the sound made by blowing across the mouth of an empty bottle,adjective,"['amphoric', 'amphoricities', 'amphoricity']"
cyclophoria,a form of heterophoria in which the vertical axis of the eye rotates to the right or left due to weakness of the oblique muscles,noun,"['cyclophoria', 'cyclophorias', 'cyclophoric']"
exophoria,latent strabismus in which the visual axes tend outward toward the temple,noun,"['exophoria', 'exophorias', 'exophoric']"
osmophore,a group (as an aldehyde group) to whose presence in a molecule the odor of a compound is attributed,noun,"['osmophore', 'osmophores', 'osmophoric']"
paregoric,camphorated tincture of opium used especially to relieve pain,noun,"['paregoric', 'paregorics']"
phosphorus,"a nonmetallic multivalent element that occurs widely in combined form especially as inorganic phosphates in minerals, soils, natural waters, bones, and teeth and as organic phosphates in all living cells and that exists in several allotropic forms —symbol P",noun,"['phosphori', 'phosphorous', 'phosphorouses', 'phosphorus', 'phosphoruses']"
toxophore,a chemical group that produces the toxic effect in a toxin molecule,noun,"['toxophore', 'toxophoric', 'toxophorous']"
thanatophoric,"relating to, affected with, or being a severe form of congenital dwarfism which results in early death",adjective,['thanatophoric']
heterophoria,latent strabismus in which one eye tends to deviate either medially or laterally,noun,"['heterophoria', 'heterophorias', 'heterophoric']"
phagocytosis,the engulfing and usually the destruction of particulate matter by phagocytes that serves as an important bodily defense mechanism against infection by microorganisms and against occlusion of mucous surfaces or tissues by foreign particles and tissue debris,noun,"['phagocytoses', 'phagocytosis', 'phagocytotic']"
pleocytosis,an abnormal increase in the number of cells (as lymphocytes) in the cerebrospinal fluid,noun,"['pleocytoses', 'pleocytosis']"
thrombocytosis,increase and especially abnormal increase in the number of platelets in the blood that typically occurs in association with a myeloproliferative disorder (as thrombocythemia or chronic myelogenous leukemia) or as a nonspecific response to an underlying disorder or disease (as a systemic infection); also : thrombocythemia,noun,"['thrombocytoses', 'thrombocytosis']"
monocytosis,an abnormal increase in the number of monocytes in the circulating blood,noun,"['monocytoses', 'monocytosis']"
pinocytosis,the uptake of fluid and dissolved substances by a cell by invagination and pinching off of the cell membrane,noun,"['pinocytic', 'pinocytoses', 'pinocytosis', 'pinocytotic', 'pinocytotically']"
poikilocytosis,a condition characterized by the presence of poikilocytes in the blood,noun,"['poikilocytoses', 'poikilocytosis']"
schistocytosis,the presence of an abnormal number of schistocytes in the blood,noun,['schistocytosis']
bald,lacking all or a significant part of the hair on the head or sometimes on other parts of the body,adjective,"['bald', 'balded', 'balder', 'baldest', 'balding', 'baldish', 'baldly', 'baldness', 'baldnesses', 'balds']"
blood test,"a laboratory test in which a sample of blood is withdrawn from the body to analyze the level of substances or cells (as glucose, hemoglobin, or white blood cells) that indicate the presence or probable development of a particular disease or medical condition (as diabetes, cardiovascular disease, or cancer) or serve to indicate the degree of function of a specific organ (as the liver or kidney)",noun,"['blood test', 'blood tests']"
fit,adapted to the environment so as to be capable of surviving,adjective,"['fit', 'fit to be tied', 'fit to kill', 'fitly', 'fitness', 'fitnesses', 'fitter', 'fittest']"
light,"made with a lower calorie content or with less of some ingredient (as salt, fat, or alcohol) than usual",adjective,"['light', 'lighter', 'lightest', 'lightish', 'lite']"
Rubin test,a test to determine the patency or occlusion of the fallopian tubes by insufflating them with carbon dioxide by transuterine injection,noun,"['Rubin', 'Rubin test']"
Widal test,a test for detecting typhoid fever and other salmonella infections using the Widal reaction,noun,"['Widal test', ""Widal's test""]"
Dick test,a test to determine susceptibility or immunity to scarlet fever by an injection of scarlet fever toxin,noun,"['Dick', 'Dick test']"
biuret test,a test especially for the presence and concentration of proteins in a sample using the biuret reaction,noun,['biuret test']
Hotis test,a test for the presence of the common streptococcus of bovine mastitis in milk which is made by incubating a sample of milk with an aniline dye and in which the appearance of yellow patches indicates the presence of the organism,noun,"['Hotis', 'Hotis test']"
Kline test,a rapid precipitation test for the diagnosis of syphilis,noun,"['Kline', 'Kline test']"
Kveim test,"an intradermal test for sarcoidosis used especially formerly in which an antigen prepared from the lymph nodes or spleen of human sarcoidosis patients is injected intracutaneously and which is positive when an infiltrated area, papule, nodule, or superficial necrosis appears around the site of injection or a skin biopsy yields typical tubercles and giant cell formations upon histological examination",noun,"['Kveim', 'Kveim test']"
odor,a quality of something that stimulates the olfactory organ : smell,noun,"['odor', 'odored', 'odorless', 'odors', 'odour', 'odoured', 'odourless']"
odorant,an odorous substance; especially : one added to a toxic odorless substance to warn of its presence,noun,"['odorant', 'odorants']"
pomatum,ointment; especially : a perfumed unguent for the hair or scalp,noun,"['pomatum', 'pomatums']"
neostriatum,the phylogenetically newer part of the corpus striatum consisting of the caudate nucleus and putamen,noun,"['neostriata', 'neostriatal', 'neostriatum', 'neostriatums']"
deodorant,any of various preparations or solutions (as a soap or disinfectant) that destroy or mask unpleasant odors; especially : a cosmetic that neutralizes perspiration odors,noun,"['deodorant', 'deodorants']"
granatum,the bark of the stem and of the root of the pomegranate that has sometimes been used to expel tapeworms,noun,"['granatum', 'granatums']"
phot,the cgs unit of illumination equal to one lumen per square centimeter,noun,"['phot', 'phots']"
rot,to undergo decomposition from the action of bacteria or fungi,intransitive verb,"['rot', 'rotted', 'rotting']"
part,one of several or many like units into which something is divided or of which it is composed : a proportional division or ingredient,noun,"[""for one's part"", 'for the most part', 'in part', ""on one's part"", 'on the part of one', 'part', 'parts']"
broth,liquid in which meat or sometimes vegetable food has been cooked,noun,"['broth', 'broths']"
port,"an opening, passage, or channel through which something can be introduced into the body: as",noun,"['larboard', 'port', 'ports']"
ergot,the black or dark purple sclerotium of fungi of the genus Claviceps that occurs as a club-shaped body which replaces the seed of various grasses (as rye),noun,"['ergot', 'ergotic', 'ergots']"
froth,a foamy slaver sometimes accompanying disease or exhaustion,noun,"['froth', 'froths']"
pivot,a usually metallic pin holding an artificial crown to the root of a tooth,noun,"['pivot', 'pivots']"
probe,"a surgical instrument that consists typically of a light slender fairly flexible pointed metal instrument like a small rod that is used typically for locating a foreign body (as a bullet embedded in a part of the body), for exploring a wound or suppurative tract by prodding or piercing, or for penetrating and exploring bodily passages and cavities",noun,"['probe', 'probes']"
prone,having the front or ventral surface of a body facing downward : lying with the chest and stomach positioned downward,adjective,['prone']
blot,"a nitrocellulose sheet that contains spots of immobilized macromolecules (as of DNA, RNA, or protein) or their fragments and that is used to identify specific components of the spots by applying a suitable molecular probe (as a complementary nucleic acid or a radiolabeled antibody)",noun,"['blot', 'blots']"
laetrile,"a drug that is derived especially from pits of the apricot (Prunus armeniaca of the rose family), that contains amygdalin, and that has been used in the treatment of cancer although of unproved effectiveness",noun,"['laetrile', 'laetriles']"
poison ivy,"a climbing plant of the genus Rhus (R. radicans synonym Toxicodendron radicans) that is especially common in the eastern and central United States, that has leaves in groups of three, greenish flowers, and white berries, and that produces an acutely irritating oil causing a usually intensely itching skin rash",noun,"['poison ivies', 'poison ivy']"
electrolysis,the process of producing chemical changes by passage of an electric current through an electrolyte,noun,"['electrolyses', 'electrolysis']"
intestine,"the tubular portion of the digestive tract that lies posterior to the stomach from which it is separated by the pyloric sphincter and consists of a slender but long anterior part made up of the duodenum, jejunum, and ileum which function in digestion and assimilation of nutrients and a broader shorter posterior part made up of the cecum, colon, and rectum which function in resorption of water from the by-products of digestion and formation of the feces —often used in plural",noun,"['intestine', 'intestines']"
interkinesis,the period between two mitoses of a nucleus (as between the first and second meiotic divisions),noun,"['interkineses', 'interkinesis', 'interkinetic']"
intestinal flu,"an acute usually transitory attack of gastroenteritis that is marked by nausea, vomiting, diarrhea, and abdominal cramping and is typically caused by a virus (as the Norwalk virus) or a bacterium (as E. coli) —not usually used technically",noun,"['intestinal flu', 'intestinal flus']"
interstitial,situated within but not restricted to or characteristic of a particular organ or tissue —used especially of fibrous tissue,adjective,"['interstitial', 'interstitially']"
interferometer,"an instrument that utilizes the interference of waves (as of light) for precise determination especially of wavelength, spectral fine structure, indices of refraction, and very small linear displacements",noun,"['interferometer', 'interferometers', 'interferometric', 'interferometrically', 'interferometries', 'interferometry']"
intelligence,the ability to learn or understand or to deal with new or trying situations,noun,"['intelligence', 'intelligences', 'intelligent', 'intelligential', 'intelligently']"
thermoregulation,the maintenance or regulation of temperature; specifically : the maintenance of a particular temperature of the living body,noun,"['thermoregulate', 'thermoregulated', 'thermoregulates', 'thermoregulating', 'thermoregulation', 'thermoregulations']"
chemoresistance,the quality or state of being resistant to a chemical (as a drug),noun,"['chemoresistance', 'chemoresistances', 'chemoresistant']"
thermoreceptor,a sensory end organ that is stimulated by heat or cold,noun,"['thermoreceptor', 'thermoreceptors']"
thermostable,stable when heated; specifically : retaining characteristic properties on being moderately heated,adjective,"['thermostabilities', 'thermostability', 'thermostable']"
seroresistance,failure to attain seronegativity after intensive or prolonged treatment that results in subsidence of clinical symptoms —used chiefly of advanced or congenital syphilis,noun,"['seroresistance', 'seroresistances', 'seroresistant']"
thermochemistry,a branch of chemistry that deals with the interrelation of heat with chemical reaction or physical change of state,noun,"['thermochemical', 'thermochemist', 'thermochemistries', 'thermochemistry', 'thermochemists']"
thermoregulator,a device (as a thermostat) for the regulation of temperature,noun,"['thermoregulator', 'thermoregulators']"
ichthyotoxin,a toxic substance in the blood serum of the eel; broadly : any toxic substance derived from fish,noun,['ichthyotoxin']
ichthyosarcotoxism,poisoning caused by the ingestion of fish whose flesh contains a toxic substance,noun,"['ichthyosarcotoxism', 'ichthyosarcotoxisms']"
ichthyosis vulgaris,the common hereditary form of ichthyosis that is inherited as an autosomal dominant trait,noun,['ichthyosis vulgaris']
colonize,to multiply in or on a host or an inanimate object or surface,verb,"['colonization', 'colonizations', 'colonize', 'colonized', 'colonizer', 'colonizers', 'colonizes', 'colonizing']"
opsonization,the process of modifying (as a bacterium) by the action of opsonins,noun,"['opsonization', 'opsonizations', 'opsonize', 'opsonized', 'opsonizes', 'opsonizing']"
enolize,to convert into an enol or an enolic hydroxyl group,verb,"['enolisable', 'enolisation', 'enolise', 'enolised', 'enolising', 'enolizable', 'enolization', 'enolizations', 'enolize', 'enolized', 'enolizes', 'enolizing']"
erotize,to invest with erotic significance or sexual feeling,transitive verb,"['erotise', 'erotised', 'erotising', 'erotization', 'erotizations', 'erotize', 'erotized', 'erotizes', 'erotizing']"
electronic cigarette,a battery-operated device that is typically designed to resemble a traditional cigarette and is used to inhale nicotine vapor,noun,"['e-cig', 'e-cigarette', 'electronic cigarette']"
dressing,a covering (as of ointment or gauze) applied to a lesion,noun,"['dressing', 'dressings']"
borborygmus,a rumbling sound made by the movement of gas in the intestine,noun,"['borborygmi', 'borborygmic', 'borborygmus']"
chyle,"lymph that is milky from emulsified fats, characteristically present in the lacteals, and most apparent during intestinal absorption of fats",noun,"['chyle', 'chyles', 'chylous']"
psychrometer,a hygrometer consisting essentially of two similar thermometers with the bulb of one being kept wet so that the cooling that results from evaporation makes it register a lower temperature than the dry one and with the difference between the readings constituting a measure of the dryness of the atmosphere,noun,"['psychrometer', 'psychrometers', 'psychrometric', 'psychrometries', 'psychrometry']"
pseudochromesthesia,association of sounds with certain colors; specifically : the production of a colored visual sensation in response to certain sounds,noun,"['pseudochromaesthesia', 'pseudochromesthesia', 'pseudochromesthesias']"
psychasthenia,"a neurotic state characterized especially by phobias, obsessions, or compulsions that one knows are irrational",noun,"['psychasthenia', 'psychasthenias', 'psychasthenic', 'psychasthenics']"
lumbar,"of, relating to, or constituting the loins or the vertebrae between the thoracic vertebrae and sacrum",adjective,['lumbar']
lumbar vein,"any vein of the four pairs collecting blood from the muscles and integument of the loins, the walls of the abdomen, and adjacent parts and emptying into the dorsal part of the inferior vena cava",noun,"['lumbar vein', 'lumbar veins']"
lumpy jaw,actinomycosis; especially : actinomycosis of the head in cattle,noun,"['lump jaw', 'lump jaws', 'lumpy jaw', 'lumpy jaws']"
histotrophe,all materials supplied for nutrition of the embryo in viviparous animals from sources other than the maternal bloodstream,noun,"['histotroph', 'histotrophe', 'histotrophes', 'histotrophs']"
isotope,any of two or more species of atoms of a chemical element with the same atomic number and position in the periodic table and nearly identical chemical behavior but with differing atomic mass or mass number and different physical properties,noun,"['isotope', 'isotopes', 'isotopic', 'isotopically', 'isotopies', 'isotopy']"
costotome,a surgical instrument for cutting the ribs and opening the thoracic cavity,noun,['costotome']
histotropism,attraction (as of a parasite) to a particular kind of tissue,noun,"['histotropism', 'histotropisms']"
histology,a branch of anatomy that deals with the minute structure of animal and plant tissues as discernible with the microscope,noun,"['histologic', 'histological', 'histologically', 'histologies', 'histologist', 'histologists', 'histology']"
histone,any of various simple water-soluble proteins that are rich in the basic amino acids lysine and arginine and are complexed with DNA in the nucleosomes of eukaryotic chromatin,noun,"['histone', 'histones']"
testis,"a typically paired male reproductive gland that usually consists largely of seminiferous tubules from the epithelium of which spermatozoa develop, that contains androgen-secreting Leydig cells in the interstitial tissue, that corresponds to the ovary of the female and in craniate vertebrates develops from the genital ridges of the embryo, and that in most mammals descends into the scrotum before the attainment of sexual maturity and in many cases before birth",noun,"['testes', 'testis']"
tacticity,the quality or state of being stereochemically tactic,noun,"['tacticities', 'tacticity']"
bioidentical,having the same molecular structure as a substance produced in the body,adjective,['bioidentical']
dental,"relating to, specializing in, or used in dentistry",adjective,"['dental', 'dentally']"
labiodental,uttered with the participation of the lip and teeth,adjective,"['labiodental', 'labiodentals']"
accident,"an unfortunate event resulting from carelessness, unawareness, ignorance, or a combination of causes",noun,"['accident', 'accidental', 'accidentally', 'accidentalness', 'accidentalnesses', 'accidently', 'accidents']"
biparental,"of, relating to, involving, or derived from two parents",adjective,"['biparental', 'biparentally']"
predental,preliminary to or preparing for a course in dentistry,adjective,['predental']
bidet,a bathroom fixture about the height of the seat of a chair used especially for bathing the external genitals and the anal region,noun,"['bidet', 'bidets']"
mental,of or relating to the mind; specifically : of or relating to the total emotional and intellectual response of an individual to external reality,adjective,"['mental', 'mentally']"
rudiment,an incompletely developed organ or part; especially : an organ or part just beginning to develop : anlage,noun,"['rudiment', 'rudimental', 'rudiments']"
thiopental,a barbiturate used in the form of its sodium salt C11H17N2NaO2S especially as an intravenous anesthetic,noun,"['thiopental', 'thiopentals']"
bar,to cut free and ligate (a vein in a horse's leg) above and below the site of a projected operative procedure,transitive verb,"['bar', 'barred', 'barring', 'bars']"
bregma,the point of junction of the coronal and sagittal sutures of the skull,noun,"['bregma', 'bregmata', 'bregmatic']"
treat,to care for or deal with medically or surgically : deal with by medical or surgical means,transitive verb,"['treat', 'treated', 'treating', 'treats']"
relate,to have meaningful social relationships : interact realistically,intransitive verb,"['relate', 'related', 'relating']"
trehalase,an enzyme that accelerates the hydrolysis of trehalose and is found in yeasts and molds,noun,"['trehalase', 'trehalases']"
Trematoda,"a class of the phylum Platyhelminthes including the flukes and related parasitic flatworms that usually have no cellular epidermis or cilia but have a chitinous cuticle covering the body, suckers for adhesion, and a well-developed digestive tract",noun plural,"['Trematoda', 'trematoda', 'trematodan', 'trematodean']"
trematode,any parasitic flatworm (as a liver fluke) of the class Trematoda,noun,"['trematode', 'trematodes']"
chelator,any of various compounds that combine with metals to form chelates and that include some used medically in the treatment of metal poisoning (as by lead),noun,"['chelator', 'chelators']"
relation,"an aspect or quality (as resemblance or causality) that connects two or more things or parts as being or belonging or working together, as being of the same kind, or as being logically connected",noun,"['relation', 'relational', 'relationally', 'relations']"
treacle,a medicinal compound formerly in wide use as a remedy against poison,noun,"['golden syrup', 'treacle', 'treacles']"
facet,a smooth flat or nearly flat circumscribed anatomical surface,noun,"['facet', 'faceted', 'facets', 'facetted']"
Atrovent,—used for a preparation of ipratropium bromide for oral inhalation,trademark,['Atrovent']
adder,the common venomous European viper of the genus Vipera (V. berus); broadly : a terrestrial viper of the family Viperidae,noun,"['adder', 'adders']"
adduct,to draw (as a limb) toward or past the median axis of the body; also : to bring together (similar parts),transitive verb,"['adduct', 'adducted', 'adducting', 'adductive', 'adducts']"
Flovent,—used for a preparation of fluticasone propionate administered as an oral inhalant,trademark,['Flovent']
additive,having or relating to a value or effect that is the sum of individual values or effects: as,adjective,"['additive', 'additively', 'additivities', 'additivity']"
midventral,"of, relating to, or being the middle of the ventral surface",adjective,"['midventral', 'midventrally']"
solvent,a substance capable of or used in dissolving or dispersing one or more other substances; especially : a liquid component of a solution present in greater amount than the solute,noun,"['solvent', 'solventless', 'solvents']"
ectromelia,congenital absence or imperfection of one or more limbs,noun,"['ectromelia', 'ectromelias', 'ectromelic']"
achromatic,refracting light without dispersing it into its constituent colors : giving images practically free from extraneous colors,adjective,"['achromatic', 'achromatically', 'achromatism', 'achromatisms', 'achromatize', 'achromatized', 'achromatizes', 'achromatizing']"
acromegaly,"a disorder that is caused by chronic overproduction of growth hormone by the pituitary gland and is characterized by a gradual and permanent enlargement of the flat bones (as the lower jaw) and of the hands and feet, abdominal organs, nose, lips, and tongue and that develops after ossification is complete",noun,"['acromegalic', 'acromegalics', 'acromegalies', 'acromegaly']"
achromatin,the part of the cell nucleus that is not readily colored by basic stains,noun,"['achromatin', 'achromatins']"
alkalify,to convert or change into an alkali : make alkaline,verb,"['alkalified', 'alkalifies', 'alkalify', 'alkalifying']"
alcaligenes,"a genus of gram-negative motile bacteria that do not ferment carbohydrates and are aerobes or facultative anaerobes, commonly occur in water and soil, and include some (as A. faecalis) that are found in the intestines of vertebrates including humans and are usually harmless but have been associated with opportunistic infections",noun,['alcaligenes']
alkaline,"of, relating to, containing, or having the properties of an alkali or alkali metal : basic; especially, of a solution : having a pH of more than 7",adjective,"['alkaline', 'alkalinities', 'alkalinity']"
liquefacient,something that serves to liquefy or to promote liquefaction,noun,"['liquefacient', 'liquefacients']"
idioplasm,the part of the protoplasm that functions specifically in hereditary transmission : germplasm,noun,"['idioplasm', 'idioplasms']"
idioglossia,a condition in which words are so poorly articulated that speech is either unintelligible or appears to be a made-up language,noun,"['idioglossia', 'idioglossias']"
iridoschisis,separation of the stroma of the iris into two layers with disintegration of the anterior layer into fibrils,noun,"['iridoschises', 'iridoschisis', 'iridoschisises']"
collapse,to fall or shrink together abruptly and completely : fall into a jumbled or flattened mass through the force of external pressure,verb,"['collapse', 'collapsed', 'collapses', 'collapsibilities', 'collapsibility', 'collapsible', 'collapsing']"
idiographic,"relating to or dealing with the concrete, individual, or unique",adjective,['idiographic']
idiosome,any of several specialized cellular organelles: as,noun,"['idiosome', 'idiosomes']"
idiotype,the molecular structure and conformation in the variable region of an immunoglobulin that confers its antigenic specificity,noun,"['idiotype', 'idiotypes', 'idiotypic']"
osteoclasis,the breaking of a bone as a step in the correction of a deformity,noun,"['osteoclases', 'osteoclasis', 'osteoclasises']"
prolapse,the falling down or slipping of a body part from its usual position or relations,noun,"['prolapse', 'prolapses']"
endosome,a conspicuous body other than a chromatin granule that occurs within the nuclear membrane of a vesicular protozoan nucleus and is either a karyosome or a nucleolus,noun,"['endosome', 'endosomes']"
endosteum,the layer of vascular connective tissue lining the medullary cavities of bone,noun,"['endostea', 'endosteum']"
endospore,an asexual spore developed within the cell especially in bacteria,noun,"['endospore', 'endospores']"
endocytosis,incorporation of substances into a cell by phagocytosis or pinocytosis,noun,"['endocytose', 'endocytosed', 'endocytoses', 'endocytosing', 'endocytosis', 'endocytotic']"
pyridine,a toxic water-soluble flammable liquid base C5H5N of pungent odor that is the parent of many naturally occurring organic compounds and is used as a solvent and a denaturant for alcohol and in the manufacture of pharmaceuticals (as antiseptics and antihistamines) and waterproofing agents,noun,"['pyridine', 'pyridines']"
iridium,a silver-white hard brittle very heavy metallic element of the platinum group used especially in hardening platinum for alloys (as for surgical instruments) —symbol Ir,noun,"['iridium', 'iridiums']"
Dipylidium,"a genus of taenioid tapeworms including the common dog tapeworm (D. caninum) that is a cosmopolitan parasite of dogs, cats, and other carnivores and occasionally infests humans",noun,['Dipylidium']
protium,the ordinary light hydrogen isotope of atomic mass 1,noun,"['protium', 'protiums']"
nephridium,"an excretory organ that is characteristic of various coelomate invertebrates (as annelid worms, mollusks, brachiopods, and some arthropods), occurs paired in each body segment or as a single pair serving the whole body, typically consists of a tube opening at one end into the coelom and discharging at the other end on the exterior of the body, is often lengthened and convoluted, and has glandular walls",noun,"['nephridia', 'nephridial', 'nephridium', 'nephridiums']"
periodontium,"the supporting structures of the teeth including the cementum, the periodontal ligament, the bone of the alveolar process, and the gums",noun,"['periodontia', 'periodontium']"
paradentium,"the paradental tissues including the gums, the alveolar process, and the periodontal ligament",noun,"['paradentia', 'paradentium']"
basidium,a structure on a basidiomycete in which karyogamy occurs followed by meiosis to form usually four basidiospores,noun,"['basidia', 'basidium']"
oidium,a genus of imperfect fungi of the family Moniliaceae including many which are now considered to be conidial stages of various powdery mildews,noun,"['arthrospore', 'oidia', 'oidium']"
Anaplasmataceae,a family of parasitic bacteria of the order Rickettsiales that are found inside of membrane-bound vacuoles within cells (such as red or white blood cells) of various vertebrates and invertebrates and are classified in several genera including the genera Anaplasma and Ehrlichia,noun plural,['Anaplasmataceae']
hypocatalasemic,"of, relating to, or characterized by a deficiency of catalase in the blood",adjective,"['hypocatalasaemic', 'hypocatalasemic']"
Micrococcaceae,"a family of heterotrophic spherical or elliptical gram-positive usually nonmotile bacteria that usually lack endospores, divide in two or three planes forming pairs, tetrads, or masses of cells, are aerobic or facultatively anaerobic, and produce yellow, orange, or red pigment and that include numerous harmless commensals and saprophytes (as of the genus Micrococcus)",noun plural,['Micrococcaceae']
Mycoplasmataceae,"a family (coextensive with the order Mycoplasmatales) of minute pleomorphic gram-negative nonmotile bacteria that have complex life cycles, are mostly parasitic usually in mammals, and are classified into the genera Mycoplasma and Ureaplasma",noun plural,['Mycoplasmataceae']
Solanaceae,"a large family of widely distributed often strongly scented herbs, shrubs, and trees (order Polemoniales) that include the tomato, potato, jimsonweed, and belladonna",noun plural,['Solanaceae']
Spirochaetaceae,a family comprising large coarsely spiral bacteria of the order Spirochaetales that are free-living in fresh or salt water or associated with animal or human hosts,noun plural,['Spirochaetaceae']
Treponemataceae,a family of the order Spirochaetales comprising small variable spirochetes without obvious structural differentiation and including a number of important pathogens,noun plural,['Treponemataceae']
neurocranium,the portion of the skull that encloses and protects the brain,noun,"['neurocrania', 'neurocranial', 'neurocranium', 'neurocraniums']"
neurokeratin,a pseudokeratin present in nerve tissue (as in the myelin sheath of a myelinated axon),noun,"['neurokeratin', 'neurokeratins']"
sporogonic,"of, relating to, involving, or produced by sporogony",adjective,"['sporogonic', 'sporogonous']"
aconitine,a white crystalline intensely poisonous alkaloid C34H47NO11 from the root and leaves of monkshood,noun,"['aconitine', 'aconitines']"
ascogonium,the fertile basal often one-celled portion of an archicarp; broadly : archicarp,noun,"['ascogonia', 'ascogonium']"
homogonic,being or characterized by a course of development in which one generation of parasites immediately succeeds another,adjective,['homogonic']
Monogenea,"a class, subclass, or suborder of parasitic platyhelminthic worms that were formerly usually classified as trematodes but are currently considered to be more closely related to the tapeworms and that comprise flatworms ordinarily living as ectoparasites on a single usually fish host throughout the entire life cycle",noun plural,['Monogenea']
monogenic,"of, relating to, or controlled by a single gene and especially by either of an allelic pair",adjective,"['monogenic', 'monogenically']"
parasitic,relating to or having the habit of a parasite : living on another organism,adjective,"['parasitic', 'parasitical', 'parasitically']"
peristome,the area surrounding the mouth or cytostome of a protozoan,noun,"['peristome', 'peristomes', 'peristomial']"
paranormal,not understandable in terms of known scientific laws and phenomena,adjective,"['paranormal', 'paranormalities', 'paranormality', 'paranormally', 'paranormals']"
parasitemia,a condition in which parasites are present in the blood —used especially to indicate the presence of parasites without clinical symptoms,noun,"['parasitaemia', 'parasitemia', 'parasitemias']"
parasexual,relating to or being reproduction that results in recombination of genes from different individuals but does not involve meiosis and formation of a zygote by fertilization as in sexual reproduction,adjective,"['parasexual', 'parasexualities', 'parasexuality']"
parasitoid,an insect and especially a wasp that completes its larval development within the body of another insect which it eventually kills and that is free-living as an adult,noun,"['parasitoid', 'parasitoids']"
hallux,the innermost digit (as the big toe in humans) of a hind or lower limb,noun,"['halluces', 'hallux']"
acquired,developed or originating after birth : not congenital or hereditary,adjective,['acquired']
pudendum,the external genital organs of a human; especially : the external genitalia of a woman : vulva —usually used in plural,noun,"['pudenda', 'pudendal', 'pudendum']"
nephrotomography,tomographic visualization of the kidney usually combined with intravenous nephrography,noun,"['nephrotomographic', 'nephrotomographies', 'nephrotomography']"
